frame_id,class_id,actual_label,is_food,confidence,mog2_time_ms,preprocess_time_ms,yolo_time_ms,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,4,tomato,True,0.7391817569732666,350.5,21.5,663.4,0.51,0.51,1.0,1.0
1,4,tomato,True,0.7293398380279541,350.5,21.5,663.4,0.25,0.27,0.94,1.0
2,0,apple,True,0.7403653264045715,26.7,17.9,656.7,0.5,0.5,1.0,1.0
2,3,lemon,True,0.7202975749969482,26.7,17.9,656.7,0.29,0.23,0.93,0.97
2,1,carrot,True,0.7056012153625488,26.7,17.9,656.7,0.0,0.0,0.0,0.0
3,0,apple,True,0.7404415607452393,25.0,16.5,622.4,0.51,0.51,1.0,1.0
3,4,tomato,True,0.726691722869873,25.0,16.5,622.4,0.25,0.28,0.96,1.0
4,0,apple,True,0.740145742893219,25.7,7.2,620.6,0.5,0.5,1.0,1.0
4,4,tomato,True,0.725361168384552,25.7,7.2,620.6,0.23,0.27,0.95,1.0
4,4,tomato,True,0.7069376111030579,25.7,7.2,620.6,0.07,0.11,0.61,0.74
5,0,apple,True,0.7415135502815247,27.1,10.2,618.8,0.51,0.52,1.0,1.0
5,4,tomato,True,0.7278119921684265,27.1,10.2,618.8,0.26,0.29,0.96,1.0
5,4,tomato,True,0.70490962266922,27.1,10.2,618.8,0.16,0.15,0.75,0.79
6,3,lemon,True,0.7362158298492432,27.9,7.1,626.8,0.52,0.51,1.0,1.0
6,4,tomato,True,0.7244089841842651,27.9,7.1,626.8,0.26,0.27,0.98,1.0
6,3,lemon,True,0.7105275988578796,27.9,7.1,626.8,0.0,0.0,0.0,0.0
6,4,tomato,True,0.7065685391426086,27.9,7.1,626.8,0.16,0.18,0.72,0.81
7,4,tomato,True,0.7374483942985535,28.3,8.7,623.0,0.5,0.5,1.0,1.0
7,2,egg,True,0.7136317491531372,28.3,8.7,623.0,0.28,0.25,1.0,1.0
7,4,tomato,True,0.7019757032394409,28.3,8.7,623.0,0.2,0.21,0.7,0.75
